time,x,y,z,vx,vy,vz,ctrl_abd,ctrl_hip,ctrl_knee,ext_force
0.0,-0.0015526414807920856,0.00013297345579761245,0.2724915287949009,-0.13271060363782025,0.01692761170772729,0.20942803103206561,-0.07276598103143657,0.6401227743121682,-1.7233877888605467,0.0
0.02,-0.0050283426780298995,0.0010763799278850224,0.27648041592224987,-0.20573326022426958,0.07350555027142155,0.1734300777345742,-0.1016543367591085,0.6644002442389398,-1.7195980347546835,0.0
0.04,-0.00983665199766998,0.002923556136816582,0.2787588376145329,-0.2607188556037381,0.1048324440929774,0.06408732107813898,-0.06996300834087255,0.6597768643716712,-1.7378800353505426,0.0
0.06,-0.015356405396566575,0.005485525079678466,0.2785971718116717,-0.27943334201149167,0.13517008227445504,-0.07503203011592444,-0.1418986858210352,0.6697053666192859,-1.7636238500901016,0.0
0.08,-0.02076073268584777,0.007175542591187064,0.2749286380667838,-0.26224776609208084,0.06692604899814664,-0.26927807843407825,0.03944728737412927,0.7256828350789879,-1.7172525245423218,0.0
0.1,-0.025810911960344858,0.01061423398138695,0.26787442535480227,-0.24527531153805054,0.2320829478905712,-0.4191519237533198,-0.4836056451592419,0.8028466452640234,-1.759042328176859,0.0
0.12,-0.030124075513071134,0.01243119412372879,0.259322880754473,-0.1946170571324505,-5.4151145628233976e-05,-0.4270789489511806,0.5548071943903454,0.8652385036408039,-1.766718945567174,0.0
0.14,-0.03387323571044735,0.014845460036169792,0.2499541370631585,-0.17382542795219477,0.18962720626870835,-0.49000490654862494,-0.774055492186742,0.8951483142304029,-1.74275854039282,0.0
0.16,-0.036260768560533084,0.015399814166075797,0.24153927679835308,-0.0758020756383911,-0.08361029447555038,-0.3669213542437215,0.5683724858060177,0.9858401777992368,-1.7188661773801663,0.0
0.18,-0.037160641010688514,0.016299079274523783,0.23400272017388166,-0.02000432555294054,0.11409520099061177,-0.3772148340321097,-0.7196832215692647,1.0227020754712146,-1.6834182720056619,0.0
0.2,-0.03702728965587097,0.014442001349389846,0.2296194742799768,0.014798143459130317,-0.23385210907831402,-0.09774880444828193,0.6656754883672242,1.1515555701181164,-1.7019429104028987,0.0
0.22,-0.03723808728084888,0.012254937017666922,0.22918532450497603,-0.011689105145719535,-0.03600957040052826,0.02471480933188109,-0.7039581350482575,1.138121548061093,-1.7140837375880813,0.0
0.24,-0.0375192883304694,0.008148391523880014,0.23331581952039704,-0.021716204235789904,-0.3139467973850231,0.3199954898971923,0.7741291307367236,1.0994899524225605,-1.696453891071722,0.0
0.26,-0.03875966040488857,0.004585926327954849,0.24031221228896782,-0.07587599247267751,-0.0896220999960878,0.36298720121611966,-0.63405608875731,1.0993905629674108,-1.765370428600619,0.0
0.28,-0.03967804595831525,0.0008211150040882756,0.24689062906065865,-0.027304767911990775,-0.2421308322602118,0.2831176049798913,0.7228790011116921,1.0903163537713956,-1.8225685277639188,0.0
0.3,-0.04044891344464349,-0.0018938121680762256,0.2514630555515207,-0.04163275476544891,-0.07579229331253022,0.18494512565108784,-0.5529939079435148,1.087778792569968,-1.9022099638255878,0.0
0.32,-0.04100889719290139,-0.0051938973304112715,0.2536001120597875,-0.01860198291837202,-0.2144679187792209,0.03870577614022447,0.6423088102593667,1.076786782894081,-1.959141720519684,0.0
0.34,-0.04147863550349651,-0.007309533913330857,0.25281805038995475,-0.02260584545724771,-0.04185844237425541,-0.09707459344522813,-0.6205414668806822,1.0305574911068687,-2.0449661963683194,0.0
0.36,-0.04114758863174267,-0.009744107731868757,0.24946549459698694,0.040282889535396216,-0.1659932581174353,-0.22733573418440192,0.6436447531016203,0.9943527025255324,-2.019906131603738,0.0
0.38,-0.040555341682687804,-0.01087792735501705,0.24377680062213863,0.028410338609834197,0.008590207020702754,-0.3279617222417939,-0.6840968132717744,0.951714182641084,-2.0256027697976364,0.0
0.4,-0.03937588962777877,-0.012239125855474233,0.23634563873006773,0.08105063834919225,-0.11047538781741861,-0.4057655529347881,0.5342041057443419,0.848524333085449,-2.0073940108033117,0.0
0.42,-0.037653842929522785,-0.011756564021738617,0.2274407457880514,0.09336520887443998,0.10662901880228152,-0.4811282506465009,-0.7549008104529294,0.8915786021234948,-1.9470290443317249,0.0
0.44,-0.03524490925985595,-0.011475185733736426,0.21775085778467723,0.1318554398647928,-0.04245291132524677,-0.4882624684883861,0.48582501452286075,0.8771547476045276,-1.914017739964767,0.0
0.46,-0.03331899799439611,-0.010189654668193273,0.20801025881572238,0.07776595471030089,0.10179160886648266,-0.4503535719368163,-0.7715584132771109,0.8845633038338547,-1.857571465615867,0.0
