time,x,y,z,vx,vy,vz,ctrl_abd,ctrl_hip,ctrl_knee,ext_force
0.0,-0.001053162813420298,0.00023621896924468913,0.27261638964750967,-0.0906903539187932,0.022232808556679067,0.2210461604057606,-0.09296209539375944,0.658152495567225,-1.7485250999370874,0.0
0.02,-0.0038682241797248027,0.0009299560695937834,0.27668539647323753,-0.1750395556707806,0.046373326687298405,0.16540906886261958,-0.07853871873975361,0.6073144712665867,-1.7507454287100512,0.0
0.04,-0.007855248025317778,0.0022038346381422673,0.2782680848420693,-0.21032116435179785,0.07063886441702123,0.011667802042262043,-0.10176218568052157,0.6123485675617295,-1.7291136970786773,0.0
0.06,-0.01187864897184575,0.003389562702485038,0.2768992995582742,-0.19147536533639245,0.05538723321267853,-0.13093888672243806,-0.06888920885314041,0.7000047477557845,-1.7529170604548368,0.0
0.08,-0.015546629495650548,0.005152373434334585,0.27282899360616975,-0.17337691339448827,0.10172697760564088,-0.26736839216903957,-0.15557056299756133,0.7160884264953272,-1.7561706084505508,0.0
0.1,-0.018600774977137833,0.005472087975349926,0.2660783297403842,-0.13510676742847483,-0.02050015556425968,-0.3911971082277457,0.11147189440418395,0.789055248902635,-1.7640580485444062,0.0
0.12,-0.021157169641429156,0.007620959018417145,0.2570782271743509,-0.12120681281096778,0.18107712763621384,-0.48727320991517936,-0.7331359921385521,0.8253571808565997,-1.7500094583448527,0.0
0.14,-0.02286326809717901,0.00797203511463854,0.24881467344385927,-0.05744958181227211,-0.09447547899401029,-0.3533071416073029,0.5077836047531348,0.9276155363133228,-1.7272107916798394,0.0
0.16,-0.023686599959674433,0.008428097497343214,0.24165993465184027,-0.02458474940528515,0.0870977960200437,-0.35687816594969807,-0.7876658161221761,0.9564051494199336,-1.749928007337876,0.0
0.18,-0.023106897185907298,0.006506644307892257,0.23670848566738784,0.06662953187404372,-0.22250385172739245,-0.1765627511207764,0.6056379385390501,1.0365481775146,-1.7171830322668287,0.0
0.2,-0.02196210251897631,0.004498170220477402,0.2341656113828746,0.04527739838297833,-0.018977880334008136,-0.07188578232021496,-0.7267984510544471,1.1232259640928728,-1.7096572687945388,0.0
0.22,-0.021489916377886074,0.0004646648354374418,0.2359502171791787,0.006954129501573194,-0.31692861068258654,0.1880292098380464,0.7061134910813912,1.116281402477335,-1.728856834181505,0.0
0.24,-0.022270069305597866,-0.0029999559005021294,0.24078460409882882,-0.06195773531198397,-0.08146909688613758,0.2671052980671604,-0.6527652272136025,1.1383112079518474,-1.734555122754412,0.0
0.26,-0.023308196468482017,-0.007056707912369331,0.24664138193593363,-0.04282489093331728,-0.2702801069903886,0.2854244273958308,0.667330076629895,1.0621712848681777,-1.7573221906562606,0.0
0.28,-0.024464465169765026,-0.009978062384345825,0.2518937395206934,-0.062387228855377515,-0.06882242738343468,0.24332379767481022,-0.6252070660150862,1.1158607035681318,-1.8679102479646703,0.0
0.3,-0.02527266572034635,-0.01313039918729318,0.25559998213922486,-0.02203130688180325,-0.2062456496758262,0.13310563430686115,0.6493705306115152,1.0282142018955174,-1.9144732178869484,0.0
0.32,-0.02565347807892639,-0.015091938903040742,0.25724013973535775,-0.013789263925098862,-0.03179369242281807,0.03911239297019759,-0.6658209291481044,1.052840006474983,-1.9451430143117725,0.0
0.34,-0.025207672927882202,-0.017284364603074448,0.25661931414462336,0.04697682551231901,-0.15328636495138553,-0.08791561354187685,0.574229755697689,0.9820436280798559,-1.9775878499907211,0.0
0.36,-0.02446863590884179,-0.018229109361140552,0.2540600340777449,0.034436173254653805,0.021838510563686058,-0.16505724832720356,-0.6923630495127527,0.9555345684809684,-2.0297945919373785,0.0
0.38,-0.023062371010905847,-0.019419101809057374,0.24981281506052924,0.0967289789836884,-0.10444759277380489,-0.2519715356095264,0.5574464885281409,0.8967699690966732,-2.0483189065756147,0.0
0.4,-0.020950872453908063,-0.018847423493287798,0.24429294372053553,0.11155325971153578,0.11642745292645691,-0.2965560285247559,-0.7632543984706278,0.9301019328531701,-1.9818095127320907,0.0
0.42,-0.017883617490029934,-0.01819881427186979,0.23774738548805124,0.17917571856622805,-0.01443938540726138,-0.35641426217405126,0.49854609315418136,0.8513365693994007,-1.9680672585317476,0.0
0.44,-0.014481992614265991,-0.015725312212035065,0.23036918468211937,0.1687532445596993,0.21436233218505502,-0.39026804201383064,-0.7898234265330026,0.8764356916620436,-1.9249566240031986,0.0
0.46,-0.011320484036859653,-0.013581850255487221,0.2231358611326108,0.13622668924094966,0.019260368575083793,-0.3268330896851276,0.4687732548053439,0.8191625125679807,-1.8538974463200562,0.0
0.48,-0.009393689102630758,-0.011394022079828172,0.21676861533366512,0.07487761315186413,0.15859296632209194,-0.3211950081849912,-0.8419807804175243,0.8157232076911421,-1.761371071778115,0.0
0.5,-0.00791630467059743,-0.01137946199164781,0.21201639526535782,0.09066092701100843,-0.09017077684189367,-0.21650012666105992,0.5876152257151143,0.7317374735426904,-1.6695379216802986,0.0
0.52,-0.006101000334248253,-0.011367336173762455,0.2079838762906909,0.08320834677031866,0.07374636341395478,-0.16997011894747902,-0.6423093329458843,0.7496046833723957,-1.6702831745194735,0.0
0.54,-0.0043306313617146736,-0.01176388001789103,0.20410065712152106,0.09180061537144925,-0.07614264948958704,-0.2133697868680849,0.541904890604475,0.7624772379748757,-1.697718488411076,0.0
0.56,-0.002198358235048258,-0.012258655426217473,0.19884154272575827,0.12128619982850312,0.005921405315848534,-0.3013531833750991,-0.7986322384392452,0.7844493074488516,-1.6717645900372908,0.0
0.58,0.0002179425318248534,-0.0138003974293501,0.19282666018285932,0.12469139272328027,-0.13688376535930977,-0.2974042400494678,0.4838884927054817,0.8392199547054958,-1.6876541553165534,0.0
0.6,0.0031483015000054447,-0.015405023642311909,0.1872194786292063,0.1532678305642381,-0.050069499494059595,-0.2590216423005261,-0.5485480498173823,0.8697337394380464,-1.6879736484766683,0.0
0.62,0.006580230812905403,-0.017637747537211305,0.18322620292346148,0.18362603671716932,-0.1526322161578842,-0.14441364827035247,0.40011367226421957,0.9702919156342619,-1.667298623385654,0.0
0.64,0.010031650940619237,-0.019600919623207112,0.18189056631521117,0.1705967761888381,-0.06814371241784839,-0.004623904040358572,-0.5586367815253875,0.9533816470328855,-1.6746809936482063,0.0
0.66,0.013926413680661281,-0.022702868748150612,0.18338590224750398,0.2194857371561,-0.21712809223904442,0.13663295719074825,0.3488698146608035,1.0069000598410738,-1.6824073802911024,0.0
0.68,0.018505851946520865,-0.026061434003658145,0.18809097418287896,0.2425178019620546,-0.13239476521652932,0.3060040040030382,-0.4770553226836961,1.0307426300656297,-1.7000996210439274,0.0
0.7000000000000001,0.02410318964387236,-0.030044914125495245,0.19549235807022616,0.31673619749126763,-0.24382958837976293,0.42165980078525883,0.2679472523165788,1.0630465749065792,-1.660668649988786,0.0
0.72,0.030922713684611153,-0.03339523169301062,0.20490557157596348,0.3540382149378406,-0.1291603422614356,0.503385415857401,-0.5304259619855652,1.0607847613012213,-1.6754838615919223,0.0
0.74,0.03814102990281641,-0.037743286107178815,0.21550791537700412,0.3666651819110122,-0.27774571294448397,0.5411261018805223,0.41545232952165834,1.1310718446176846,-1.6787586327964361,0.0
